Problem ID,Problem Name,Acceptance Rate,Difficulty
1,Two Sum,52.6,Easy
2,Add Two Numbers,42.9,Medium
3,Longest Substring Without Repeating Characters,34.8,Medium
4,Median of Two Sorted Arrays,40.1,Hard
5,Longest Palindromic Substring,33.9,Medium
6,Zigzag Conversion,48.1,Medium
7,Reverse Integer,28.6,Medium
8,String to Integer (atoi),17.3,Medium
9,Palindrome Number,56.5,Easy
10,Regular Expression Matching,28.2,Hard
11,Container With Most Water,55.3,Medium
12,Integer to Roman,64.9,Medium
13,Roman to Integer,61.3,Easy
14,Longest Common Prefix,42.9,Easy
15,3Sum,34.6,Medium
16,3Sum Closest,45.8,Medium
17,Letter Combinations of a Phone Number,60.5,Medium
18,4Sum,36.3,Medium
19,Remove Nth Node From End of List,45.4,Medium
20,Valid Parentheses,40.6,Easy
21,Merge Two Sorted Lists,64.4,Easy
22,Generate Parentheses,74.6,Medium
23,Merge k Sorted Lists,52.9,Hard
24,Swap Nodes in Pairs,64.5,Medium
25,Reverse Nodes in k-Group,58.8,Hard
26,Remove Duplicates from Sorted Array,55.9,Easy
27,Remove Element,56.9,Easy
28,Find the Index of the First Occurrence in a String,42.4,Easy
29,Divide Two Integers,17.5,Medium
30,Substring with Concatenation of All Words,32.7,Hard
31,Next Permutation,40.0,Medium
32,Longest Valid Parentheses,34.2,Hard
33,Search in Rotated Sorted Array,40.8,Medium
34,Find First and Last Position of Element in Sorted Array,44.4,Medium
35,Search Insert Position,46.0,Easy
36,Valid Sudoku,59.7,Medium
37,Sudoku Solver,61.3,Hard
38,Count and Say,55.2,Medium
39,Combination Sum,71.6,Medium
40,Combination Sum II,54.6,Medium
41,First Missing Positive,39.6,Hard
42,Trapping Rain Water,62.1,Hard
43,Multiply Strings,40.5,Medium
44,Wildcard Matching,28.0,Hard
45,Jump Game II,40.5,Medium
46,Permutations,78.4,Medium
47,Permutations II,59.3,Medium
48,Rotate Image,74.5,Medium
49,Group Anagrams,68.6,Medium
50,Pow(x;n),34.9,Medium
51,N-Queens,68.4,Hard
52,N-Queens II,74.0,Hard
53,Maximum Subarray,50.8,Medium
54,Spiral Matrix,49.6,Medium
55,Jump Game,38.5,Medium
56,Merge Intervals,47.4,Medium
57,Insert Interval,41.6,Medium
58,Length of Last Word,51.9,Easy
59,Spiral Matrix II,71.2,Medium
60,Permutation Sequence,47.1,Hard
61,Rotate List,37.8,Medium
62,Unique Paths,64.4,Medium
63,Unique Paths II,41.6,Medium
64,Minimum Path Sum,64.0,Medium
65,Valid Number,19.9,Hard
66,Plus One,45.4,Easy
67,Add Binary,53.6,Easy
68,Text Justification,43.6,Hard
69,Sqrt(x),38.8,Easy
70,Climbing Stairs,52.9,Easy
71,Simplify Path,42.6,Medium
72,Edit Distance,56.5,Medium
73,Set Matrix Zeroes,55.8,Medium
74,Search a 2D Matrix,50.2,Medium
75,Sort Colors,62.4,Medium
76,Minimum Window Substring,43.1,Hard
77,Combinations,70.5,Medium
78,Subsets,78.3,Medium
79,Word Search,42.9,Medium
80,Remove Duplicates from Sorted Array II,58.5,Medium
81,Search in Rotated Sorted Array II,37.7,Medium
82,Remove Duplicates from Sorted List II,47.6,Medium
83,Remove Duplicates from Sorted List,52.6,Easy
84,Largest Rectangle in Histogram,44.5,Hard
85,Maximal Rectangle,50.5,Hard
86,Partition List,56.4,Medium
87,Scramble String,40.2,Hard
88,Merge Sorted Array,49.8,Easy
89,Gray Code,59.3,Medium
90,Subsets II,57.4,Medium
91,Decode Ways,35.0,Medium
92,Reverse Linked List II,47.7,Medium
93,Restore IP Addresses,50.1,Medium
94,Binary Tree Inorder Traversal,76.2,Easy
95,Unique Binary Search Trees II,57.8,Medium
96,Unique Binary Search Trees,61.1,Medium
97,Interleaving String,40.0,Medium
98,Validate Binary Search Tree,33.0,Medium
99,Recover Binary Search Tree,53.2,Medium
100,Same Tree,62.2,Easy
101,Symmetric Tree,56.6,Easy
102,Binary Tree Level Order Traversal,67.3,Medium
103,Binary Tree Zigzag Level Order Traversal,59.0,Medium
104,Maximum Depth of Binary Tree,75.4,Easy
105,Construct Binary Tree from Preorder and Inorder Traversal,64.0,Medium
106,Construct Binary Tree from Inorder and Postorder Traversal,63.0,Medium
107,Binary Tree Level Order Traversal II,63.5,Medium
108,Convert Sorted Array to Binary Search Tree,71.8,Easy
109,Convert Sorted List to Binary Search Tree,62.0,Medium
110,Balanced Binary Tree,52.2,Easy
111,Minimum Depth of Binary Tree,48.0,Easy
112,Path Sum,50.5,Easy
113,Path Sum II,58.5,Medium
114,Flatten Binary Tree to Linked List,65.0,Medium
115,Distinct Subsequences,47.1,Hard
116,Populating Next Right Pointers in Each Node,62.8,Medium
117,Populating Next Right Pointers in Each Node II,52.6,Medium
118,Pascal's Triangle,74.4,Easy
119,Pascal's Triangle II,64.1,Easy
120,Triangle,56.7,Medium
121,Best Time to Buy and Sell Stock,53.7,Easy
122,Best Time to Buy and Sell Stock II,66.6,Medium
123,Best Time to Buy and Sell Stock III,48.1,Hard
124,Binary Tree Maximum Path Sum,40.1,Hard
125,Valid Palindrome,47.6,Easy
126,Word Ladder II,27.3,Hard
127,Word Ladder,39.3,Hard
128,Longest Consecutive Sequence,47.3,Medium
129,Sum Root to Leaf Numbers,65.9,Medium
130,Surrounded Regions,39.6,Medium
131,Palindrome Partitioning,68.9,Medium
132,Palindrome Partitioning II,34.0,Hard
133,Clone Graph,57.5,Medium
134,Gas Station,45.5,Medium
135,Candy,43.3,Hard
136,Single Number,73.0,Easy
137,Single Number II,62.7,Medium
138,Copy List with Random Pointer,56.3,Medium
139,Word Break,46.8,Medium
140,Word Break II,48.2,Hard
141,Linked List Cycle,50.5,Easy
142,Linked List Cycle II,51.4,Medium
143,Reorder List,58.8,Medium
144,Binary Tree Preorder Traversal,69.6,Easy
145,Binary Tree Postorder Traversal,71.1,Easy
146,LRU Cache,42.5,Medium
147,Insertion Sort List,53.7,Medium
148,Sort List,58.1,Medium
149,Max Points on a Line,26.8,Hard
150,Evaluate Reverse Polish Notation,51.6,Medium
151,Reverse Words in a String,42.7,Medium
152,Maximum Product Subarray,35.1,Medium
153,Find Minimum in Rotated Sorted Array,50.4,Medium
154,Find Minimum in Rotated Sorted Array II,43.7,Hard
155,Min Stack,54.3,Medium
156,Binary Tree Upside Down,62.8,Medium
157,Read N Characters Given Read4,41.5,Easy
158,Read N Characters Given read4 II - Call Multiple Times,42.3,Hard
159,Longest Substring with At Most Two Distinct Characters,55.4,Medium
160,Intersection of Two Linked Lists,57.6,Easy
161,One Edit Distance,34.3,Medium
162,Find Peak Element,46.0,Medium
163,Missing Ranges,33.8,Easy
164,Maximum Gap,46.1,Medium
165,Compare Version Numbers,40.7,Medium
166,Fraction to Recurring Decimal,25.1,Medium
167,Two Sum II - Input Array Is Sorted,61.4,Medium
168,Excel Sheet Column Title,40.7,Easy
169,Majority Element,64.9,Easy
170,Two Sum III - Data structure design,38.1,Easy
171,Excel Sheet Column Number,63.8,Easy
172,Factorial Trailing Zeroes,43.4,Medium
173,Binary Search Tree Iterator,72.1,Medium
174,Dungeon Game,38.2,Hard
175,Combine Two Tables,76.0,Easy
176,Second Highest Salary,40.5,Medium
177,Nth Highest Salary,38.0,Medium
178,Rank Scores,62.4,Medium
179,Largest Number,36.2,Medium
180,Consecutive Numbers,46.2,Medium
181,Employees Earning More Than Their Managers,69.6,Easy
182,Duplicate Emails,71.1,Easy
183,Customers Who Never Order,69.2,Easy
184,Department Highest Salary,51.8,Medium
185,Department Top Three Salaries,53.4,Hard
186,Reverse Words in a String II,54.7,Medium
187,Repeated DNA Sequences,49.0,Medium
188,Best Time to Buy and Sell Stock IV,42.9,Hard
189,Rotate Array,40.6,Medium
190,Reverse Bits,58.7,Easy
191,Number of 1 Bits,71.1,Easy
192,Word Frequency,25.8,Medium
193,Valid Phone Numbers,26.0,Easy
194,Transpose File,26.4,Medium
195,Tenth Line,33.4,Easy
196,Delete Duplicate Emails,62.0,Easy
197,Rising Temperature,47.5,Easy
198,House Robber,51.0,Medium
199,Binary Tree Right Side View,63.2,Medium
200,Number of Islands,59.6,Medium
201,Bitwise AND of Numbers Range,46.9,Medium
202,Happy Number,56.2,Easy
203,Remove Linked List Elements,48.9,Easy
204,Count Primes,33.6,Medium
205,Isomorphic Strings,45.2,Easy
206,Reverse Linked List,76.6,Easy
207,Course Schedule,46.8,Medium
208,Implement Trie (Prefix Tree),65.3,Medium
209,Minimum Size Subarray Sum,47.2,Medium
210,Course Schedule II,50.5,Medium
211,Design Add and Search Words Data Structure,45.3,Medium
212,Word Search II,36.3,Hard
213,House Robber II,42.0,Medium
214,Shortest Palindrome,33.5,Hard
215,Kth Largest Element in an Array,66.8,Medium
216,Combination Sum III,69.7,Medium
217,Contains Duplicate,61.8,Easy
218,The Skyline Problem,42.7,Hard
219,Contains Duplicate II,45.3,Easy
220,Contains Duplicate III,22.8,Hard
221,Maximal Square,46.6,Medium
222,Count Complete Tree Nodes,65.4,Easy
223,Rectangle Area,46.2,Medium
224,Basic Calculator,43.5,Hard
225,Implement Stack using Queues,63.8,Easy
226,Invert Binary Tree,77.1,Easy
227,Basic Calculator II,43.7,Medium
228,Summary Ranges,50.7,Easy
229,Majority Element II,51.6,Medium
230,Kth Smallest Element in a BST,72.6,Medium
231,Power of Two,47.8,Easy
232,Implement Queue using Stacks,66.3,Easy
233,Number of Digit One,34.6,Hard
234,Palindrome Linked List,53.3,Easy
235,Lowest Common Ancestor of a Binary Search Tree,64.9,Medium
236,Lowest Common Ancestor of a Binary Tree,62.4,Medium
237,Delete Node in a Linked List,79.8,Medium
238,Product of Array Except Self,66.3,Medium
239,Sliding Window Maximum,46.6,Hard
240,Search a 2D Matrix II,52.7,Medium
241,Different Ways to Add Parentheses,65.5,Medium
242,Valid Anagram,64.6,Easy
243,Shortest Word Distance,65.4,Easy
244,Shortest Word Distance II,61.2,Medium
245,Shortest Word Distance III,58.5,Medium
246,Strobogrammatic Number,47.7,Easy
247,Strobogrammatic Number II,52.4,Medium
248,Strobogrammatic Number III,42.1,Hard
249,Group Shifted Strings,65.7,Medium
250,Count Univalue Subtrees,56.4,Medium
251,Flatten 2D Vector,49.5,Medium
252,Meeting Rooms,58.1,Easy
253,Meeting Rooms II,51.3,Medium
254,Factor Combinations,49.5,Medium
255,Verify Preorder Sequence in Binary Search Tree,49.9,Medium
256,Paint House,62.5,Medium
257,Binary Tree Paths,63.8,Easy
258,Add Digits,66.6,Easy
259,3Sum Smaller,50.8,Medium
260,Single Number III,68.4,Medium
261,Graph Valid Tree,48.2,Medium
262,Trips and Users,36.4,Hard
263,Ugly Number,41.9,Easy
264,Ugly Number II,46.2,Medium
265,Paint House II,54.7,Hard
266,Palindrome Permutation,67.3,Easy
267,Palindrome Permutation II,41.5,Medium
268,Missing Number,66.9,Easy
269,Alien Dictionary,35.8,Hard
270,Closest Binary Search Tree Value,51.6,Easy
271,Encode and Decode Strings,46.7,Medium
272,Closest Binary Search Tree Value II,59.1,Hard
273,Integer to English Words,30.6,Hard
274,H-Index,39.0,Medium
275,H-Index II,38.2,Medium
276,Paint Fence,46.7,Medium
277,Find the Celebrity,47.3,Medium
278,First Bad Version,44.4,Easy
279,Perfect Squares,54.8,Medium
280,Wiggle Sort,67.7,Medium
281,Zigzag Iterator,63.9,Medium
282,Expression Add Operators,39.9,Hard
283,Move Zeroes,61.8,Easy
284,Peeking Iterator,59.5,Medium
285,Inorder Successor in BST,49.8,Medium
286,Walls and Gates,61.4,Medium
287,Find the Duplicate Number,60.8,Medium
288,Unique Word Abbreviation,26.3,Medium
289,Game of Life,69.2,Medium
290,Word Pattern,42.1,Easy
291,Word Pattern II,47.9,Medium
292,Nim Game,56.9,Easy
293,Flip Game,64.6,Easy
294,Flip Game II,52.1,Medium
295,Find Median from Data Stream,51.9,Hard
296,Best Meeting Point,61.0,Hard
297,Serialize and Deserialize Binary Tree,56.8,Hard
298,Binary Tree Longest Consecutive Sequence,53.5,Medium
299,Bulls and Cows,50.3,Medium
300,Longest Increasing Subsequence,55.4,Medium
301,Remove Invalid Parentheses,48.3,Hard
302,Smallest Rectangle Enclosing Black Pixels,59.0,Hard
303,Range Sum Query - Immutable,63.5,Easy
304,Range Sum Query 2D - Immutable,54.7,Medium
305,Number of Islands II,39.9,Hard
306,Additive Number,31.6,Medium
307,Range Sum Query - Mutable,41.0,Medium
308,Range Sum Query 2D - Mutable,44.1,Hard
309,Best Time to Buy and Sell Stock with Cooldown,58.2,Medium
310,Minimum Height Trees,41.8,Medium
